Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
29,0.25mm (9.84mils),PTH,Round,F.Cu - B.Cu,Via
6,0.50mm (19.69mils),PTH,Slot,F.Cu - B.Cu,Pad
8,1.00mm (39.37mils),PTH,Round,F.Cu - B.Cu,Pad
Total 43,,,,,
